step,loss,lr,elapsed
0,4.193572,0.0003,0.7
250,2.46752,0.00029814,78.6
500,2.357865,0.00029263,156.1
750,2.134157,0.00028361,233.5
1000,1.935546,0.0002713,310.9
1250,1.826764,0.000256,906.7
1500,1.712363,0.00023809,1156.5
1750,1.689633,0.00021801,1353.1
2000,1.654,0.00019626,1429.3
2250,1.577738,0.00017337,1505.5
2500,1.542644,0.00014991,1585.0
2750,1.527865,0.00012644,1663.9
3000,1.453572,0.00010356,1742.6
3250,1.493021,8.182e-05,1821.5
3500,1.507208,6.176e-05,1899.8
3750,1.479425,4.387e-05,1978.6
4000,1.451991,2.859e-05,2057.0
4250,1.404108,1.631e-05,2135.7
4500,1.416245,7.31e-06,2214.6
4750,1.448446,1.83e-06,2292.7
4999,1.446686,0.0,2372.7
